description,duration,event,film_date,main_speaker,name,related_talks,tags,title,url,views
Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,1164,TED2006,1140825600,Ken Robinson,Ken Robinson: Do schools kill creativity?,"[{'id': 865, 'hero': 'https://pe.tedcdn.com/images/ted/172559_800x600.jpg', 'speaker': 'Ken Robinson', 'title': 'Bring on the learning revolution!', 'duration': 1008, 'slug': 'sir_ken_robinson_bring_on_the_revolution', 'viewed_count': 7266103}, {'id': 1738, 'hero': 'https://pe.tedcdn.com/images/ted/de98b161ad1434910ff4b56c89de71af04b8b873_1600x1200.jpg', 'speaker': 'Ken Robinson', 'title': ""How to escape education's death valley"", 'duration': 1151, 'slug': 'ken_robinson_how_to_escape_education_s_death_valley', 'viewed_count': 6657572}, {'id': 2276, 'hero': 'https://pe.tedcdn.com/images/ted/3821f3728e0b755c7b9aea2e69cc093eca41abe1_2880x1620.jpg', 'speaker': 'Linda Cliatt-Wayman', 'title': 'How to fix a broken school? Lead fearlessly, love hard', 'duration': 1027, 'slug': 'linda_cliatt_wayman_how_to_fix_a_broken_school_lead_fearlessly_love_hard', 'viewed_count': 1617101}, {'id': 892, 'hero': 'https://pe.tedcdn.com/images/ted/e79958940573cc610ccb583619a54866c41ef303_2880x1620.jpg', 'speaker': 'Charles Leadbeater', 'title': 'Education innovation in the slums', 'duration': 1138, 'slug': 'charles_leadbeater_on_education', 'viewed_count': 772296}, {'id': 1232, 'hero': 'https://pe.tedcdn.com/images/ted/0e3e4e92d5ee8ae0e43962d447d3f790b31099b8_800x600.jpg', 'speaker': 'Geoff Mulgan', 'title': 'A short intro to the Studio School', 'duration': 376, 'slug': 'geoff_mulgan_a_short_intro_to_the_studio_school', 'viewed_count': 667971}, {'id': 2616, 'hero': 'https://pe.tedcdn.com/images/ted/71cde5a6fa6c717488fb55eff9eef939a9241761_2880x1620.jpg', 'speaker': 'Kandice Sumner', 'title': ""How America's public schools keep kids in poverty"", 'duration': 830, 'slug': 'kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty', 'viewed_count': 1181333}]","['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",Do schools kill creativity?,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",47227110
"Body language affects how others see us, but it may also change how we see ourselves. Social psychologist Amy Cuddy argues that ""power posing"" — standing in a posture of confidence, even when we don't feel confident — can boost feelings of confidence, and might have an impact on our chances for success. NOTE: Some of the findings presented in this talk have been referenced in an ongoing debate among social scientists about robustness and reproducibility. Read ""Criticisms & updates"" below for more details as well as Amy Cuddy's response.",1262,TEDGlobal 2012,1340668800,Amy Cuddy,Amy Cuddy: Your body language may shape who you are,"[{'id': 605, 'hero': 'https://pe.tedcdn.com/images/ted/f54b234d7b2f1ede4837bf2a0bf01e325bbcc6e6_1600x1200.jpg', 'speaker': 'Alain de Botton', 'title': 'A kinder, gentler philosophy of success', 'duration': 1011, 'slug': 'alain_de_botton_a_kinder_gentler_philosophy_of_success', 'viewed_count': 5790832}, {'id': 1391, 'hero': 'https://pe.tedcdn.com/images/ted/95f24daad3615eb69a297b6d8ea3d66263b31f54_1600x1200.jpg', 'speaker': 'Brené Brown', 'title': 'Listening to shame', 'duration': 1238, 'slug': 'brene_brown_listening_to_shame', 'viewed_count': 7988959}, {'id': 1042, 'hero': 'https://pe.tedcdn.com/images/ted/3820be698584de25ea375c0bf57ee620caf94b8d_1600x1200.jpg', 'speaker': 'Brené Brown', 'title': 'The power of vulnerability', 'duration': 1219, 'slug': 'brene_brown_on_vulnerability', 'viewed_count': 31168791}, {'id': 2631, 'hero': 'https://pe.tedcdn.com/images/ted/453a7b2dbdc9427119e20e6b70ed0acf468b884c_2880x1620.jpg', 'speaker': 'Adam Galinsky', 'title': 'How to speak up for yourself', 'duration': 908, 'slug': 'adam_galinsky_how_to_speak_up_for_yourself', 'viewed_count': 3224845}, {'id': 2842, 'hero': 'https://pe.tedcdn.com/images/ted/61431a6a6184b8f62bc9e27705d1b9f8429541cf_2880x1620.jpg', 'speaker': 'Susan Pinker', 'title': 'The secret to living longer may be your social life', 'duration': 962, 'slug': 'susan_pinker_the_secret_to_living_longer_may_be_your_social_life', 'viewed_count': 1158076}, {'id': 2121, 'hero': 'https://pe.tedcdn.com/images/ted/89afe044196c7a874b6d87a780b45219d81476ce_2880x1620.jpg', 'speaker': 'Jeremy Heimans', 'title': 'What new power looks like', 'duration': 908, 'slug': 'jeremy_heimans_what_new_power_looks_like', 'viewed_count': 1358567}]","['body language', 'brain', 'business', 'psychology', 'self', 'success']",Your body language may shape who you are,"https://www.ted.com/talks/amy_cuddy_your_body_language_shapes_who_you_are
",43155405
"Simon Sinek has a simple but powerful model for inspirational leadership -- starting with a golden circle and the question ""Why?""  His examples include Apple, Martin Luther King, and the Wright brothers ...",1084,TEDxPuget Sound ,1253145600,Simon Sinek,Simon Sinek: How great leaders inspire action,"[{'id': 814, 'hero': 'https://pe.tedcdn.com/images/ted/6a9cdd2f78fe58b1214125365612fae20bf8b3c5_2880x1620.jpg', 'speaker': 'Derek Sivers', 'title': 'How to start a movement', 'duration': 189, 'slug': 'derek_sivers_how_to_start_a_movement', 'viewed_count': 6475731}, {'id': 720, 'hero': 'https://pe.tedcdn.com/images/ted/4c44fe353a0108670d9e7cd8a8ee957a398b85c7_2880x1620.jpg', 'speaker': 'Steve Jobs', 'title': 'How to live before you die', 'duration': 904, 'slug': 'steve_jobs_how_to_live_before_you_die', 'viewed_count': 8744382}, {'id': 1998, 'hero': 'https://pe.tedcdn.com/images/ted/b6cccc7593928f4861601289b937d19dac95bed9_1600x1200.jpg', 'speaker': 'Simon Sinek', 'title': 'Why good leaders make you feel safe', 'duration': 719, 'slug': 'simon_sinek_why_good_leaders_make_you_feel_safe', 'viewed_count': 6803364}, {'id': 2859, 'hero': 'https://pe.tedcdn.com/images/ted/dca22839e5c454ea247c4c2ae4134d7beb74c248_2880x1620.jpg', 'speaker': 'Ray Dalio', 'title': 'How to build a company where the best ideas win', 'duration': 993, 'slug': 'ray_dalio_how_to_build_a_company_where_the_best_ideas_win', 'viewed_count': 1063420}, {'id': 2274, 'hero': 'https://pe.tedcdn.com/images/ted/608e677e4392bcdcf82b068fa221b9df74a213ef_2880x1620.jpg', 'speaker': 'Tony Fadell', 'title': 'The first secret of design is ... noticing', 'duration': 1001, 'slug': 'tony_fadell_the_first_secret_of_design_is_noticing', 'viewed_count': 2005952}, {'id': 353, 'hero': 'https://pe.tedcdn.com/images/ted/ad9b35ff7c530c59b292296106dd5c2c65499bd4_1600x1200.jpg', 'speaker': 'David S. Rose', 'title': 'How to pitch to a VC', 'duration': 879, 'slug': 'david_s_rose_on_pitching_to_vcs', 'viewed_count': 1008401}]","['TEDx', 'business', 'entrepreneur', 'leadership', 'success']",How great leaders inspire action,"https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action
",34309432
"Brené Brown studies human connection -- our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.",1219,TEDxHouston,1275782400,Brené Brown,Brené Brown: The power of vulnerability,"[{'id': 1391, 'hero': 'https://pe.tedcdn.com/images/ted/95f24daad3615eb69a297b6d8ea3d66263b31f54_1600x1200.jpg', 'speaker': 'Brené Brown', 'title': 'Listening to shame', 'duration': 1238, 'slug': 'brene_brown_listening_to_shame', 'viewed_count': 7988744}, {'id': 1053, 'hero': 'https://pe.tedcdn.com/images/ted/2f44cca7303c7ad9d2e53391a0163142c06b6e63_1600x1200.jpg', 'speaker': 'Ali Carr-Chellman', 'title': 'Gaming to re-engage boys in learning', 'duration': 750, 'slug': 'ali_carr_chellman_gaming_to_re_engage_boys_in_learning', 'viewed_count': 953586}, {'id': 462, 'hero': 'https://pe.tedcdn.com/images/ted/71710_800x600.jpg', 'speaker': 'Barry Schwartz', 'title': 'Our loss of wisdom', 'duration': 1245, 'slug': 'barry_schwartz_on_our_loss_of_wisdom', 'viewed_count': 3303866}, {'id': 2744, 'hero': 'https://pe.tedcdn.com/images/ted/ce1b24b3c799d95b5dec38dbd927102c03b016d3_2880x1620.jpg', 'speaker': 'His Holiness Pope Francis', 'title': 'Why the only future worth building includes everyone', 'duration': 1072, 'slug': 'pope_francis_why_the_only_future_worth_building_includes_everyone', 'viewed_count': 2679431}, {'id': 2635, 'hero': 'https://pe.tedcdn.com/images/ted/b92b48ae85ff6c302bcccb2ae0b3fdfed5213ece_2880x1620.jpg', 'speaker': 'Tiq Milan and Kim Katrin Milan', 'title': 'A queer vision of love and marriage', 'duration': 1027, 'slug': 'tiq_milan_and_kim_katrin_milan_a_queer_vision_of_love_and_marriage', 'viewed_count': 1172598}, {'id': 2435, 'hero': 'https://pe.tedcdn.com/images/ted/f12603fe51178246201b821d5d08e806cabb4c2b_2880x1620.jpg', 'speaker': 'Celeste Headlee', 'title': '10 ways to have a better conversation', 'duration': 704, 'slug': 'celeste_headlee_10_ways_to_have_a_better_conversation', 'viewed_count': 8443767}]","['TEDx', 'communication', 'culture', 'depression', 'fear', 'mental health', 'psychology', 'self', 'social change']",The power of vulnerability,"https://www.ted.com/talks/brene_brown_on_vulnerability
",31168150
"""Bonk"" author Mary Roach delves into obscure scientific research, some of it centuries old, to make 10 surprising claims about sexual climax, ranging from the bizarre to the hilarious. (This talk is aimed at adults. Viewer discretion advised.)",1003,TED2009,1233878400,Mary Roach,Mary Roach: 10 things you didn't know about orgasm,"[{'id': 16, 'hero': 'https://pe.tedcdn.com/images/ted/1c7b5b4e9425a4bd4b3b51a7c870208ee2fdc5d7_1920x1080.jpg', 'speaker': 'Helen Fisher', 'title': 'Why we love, why we cheat', 'duration': 1407, 'slug': 'helen_fisher_tells_us_why_we_love_cheat', 'viewed_count': 9260870}, {'id': 485, 'hero': 'https://pe.tedcdn.com/images/ted/78134_800x600.jpg', 'speaker': 'Dan Dennett', 'title': 'Cute, sexy, sweet, funny', 'duration': 465, 'slug': 'dan_dennett_cute_sexy_sweet_funny', 'viewed_count': 2373026}, {'id': 307, 'hero': 'https://pe.tedcdn.com/images/ted/dfda28474d713d1de50dd1cc5f67c299c8b6eb80_2880x1620.jpg', 'speaker': 'Helen Fisher', 'title': 'The brain in love', 'duration': 956, 'slug': 'helen_fisher_studies_the_brain_in_love', 'viewed_count': 4883147}, {'id': 2658, 'hero': 'https://pe.tedcdn.com/images/ted/3dc281fced0320390e74db3bd4d1e392e7d76b57_2880x1620.jpg', 'speaker': 'Sofia Jawed-Wessel', 'title': 'The lies we tell pregnant women', 'duration': 896, 'slug': 'sofia_jawed_wessel_the_lies_we_tell_pregnant_women', 'viewed_count': 1614369}, {'id': 2278, 'hero': 'https://pe.tedcdn.com/images/ted/f552e29c9f47ef8059bfad8022238b79051c0e77_2880x1620.jpg', 'speaker': 'Sarah Jones', 'title': 'One woman, five characters, and a sex lesson from the future', 'duration': 1528, 'slug': 'sarah_jones_one_woman_five_characters_and_a_sex_lesson_from_the_future', 'viewed_count': 1531638}, {'id': 1931, 'hero': 'https://pe.tedcdn.com/images/ted/199d1f6d5dc4639dcc793c77402e5b17e97d901d_1600x1200.jpg', 'speaker': 'Christopher Ryan', 'title': 'Are we designed to be sexual omnivores?', 'duration': 842, 'slug': 'christopher_ryan_are_we_designed_to_be_sexual_omnivores', 'viewed_count': 1981952}]","['books', 'culture', 'history', 'humor', 'science', 'sex', 'writing']",10 things you didn't know about orgasm,"https://www.ted.com/talks/mary_roach_10_things_you_didn_t_know_about_orgasm
",22270883
"Have you ever felt like you're talking, but nobody is listening? Here's Julian Treasure to help. In this useful talk, the sound expert demonstrates the how-to's of powerful speaking — from some handy vocal exercises to tips on how to speak with empathy. A talk that might help the world sound more beautiful.",598,TEDGlobal 2013,1370822400,Julian Treasure,Julian Treasure: How to speak so that people want to listen,"[{'id': 1200, 'hero': 'https://pe.tedcdn.com/images/ted/4415eb5dc26a83bbd642577015adbe86f4fe5837_800x600.jpg', 'speaker': 'Julian Treasure', 'title': '5 ways to listen better', 'duration': 470, 'slug': 'julian_treasure_5_ways_to_listen_better', 'viewed_count': 5402534}, {'id': 1512, 'hero': 'https://pe.tedcdn.com/images/ted/d06593f2820b67dbb5abfceaa20aa8240d779850_1600x1200.jpg', 'speaker': 'Neil Harbisson', 'title': 'I listen to color', 'duration': 575, 'slug': 'neil_harbisson_i_listen_to_color', 'viewed_count': 2468912}, {'id': 965, 'hero': 'https://pe.tedcdn.com/images/ted/201524_800x600.jpg', 'speaker': 'Julian Treasure', 'title': 'Shh! Sound health in 8 steps', 'duration': 434, 'slug': 'julian_treasure_shh_sound_health_in_8_steps', 'viewed_count': 1147704}, {'id': 1928, 'hero': 'https://pe.tedcdn.com/images/ted/41c926d7412d2fedb89a90a55dafa00759ccf259_1600x1200.jpg', 'speaker': 'Rupal Patel', 'title': 'Synthetic voices, as unique as fingerprints', 'duration': 704, 'slug': 'rupal_patel_synthetic_voices_as_unique_as_fingerprints', 'viewed_count': 853612}, {'id': 2610, 'hero': 'https://pe.tedcdn.com/images/ted/40a1f746b855e335549ba49bc6ec697f5a0c1519_2880x1620.jpg', 'speaker': 'Tasos Frantzolas', 'title': 'Everything you hear on film is a lie', 'duration': 993, 'slug': 'tasos_frantzolas_everything_you_hear_on_film_is_a_lie', 'viewed_count': 1236456}, {'id': 2357, 'hero': 'https://pe.tedcdn.com/images/ted/2f0d8f23511830353514f7bb7a31c0dbd8a70dd1_2880x1620.jpg', 'speaker': 'Christine Sun Kim', 'title': 'The enchanting music of sign language', 'duration': 917, 'slug': 'christine_sun_kim_the_enchanting_music_of_sign_language', 'viewed_count': 1242888}]","['culture', 'sound', 'speech']",How to speak so that people want to listen,"https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen
",21594632
"Jill Bolte Taylor got a research opportunity few brain scientists would wish for: She had a massive stroke, and watched as her brain functions -- motion, speech, self-awareness -- shut down one by one. An astonishing story.",1099,TED2008,1204070400,Jill Bolte Taylor,Jill Bolte Taylor: My stroke of insight,"[{'id': 184, 'hero': 'https://pe.tedcdn.com/images/ted/ca8d90c65e9e596127b720b648a07dfd2ea45e7d_2880x1620.jpg', 'speaker': 'VS Ramachandran', 'title': '3 clues to understanding your brain', 'duration': 1414, 'slug': 'vilayanur_ramachandran_on_your_mind', 'viewed_count': 3930197}, {'id': 236, 'hero': 'https://pe.tedcdn.com/images/ted/35408_480x360.jpg', 'speaker': 'Christopher deCharms', 'title': 'A look inside the brain in real time', 'duration': 242, 'slug': 'christopher_decharms_scans_the_brain_in_real_time', 'viewed_count': 1485761}, {'id': 189, 'hero': 'https://pe.tedcdn.com/images/ted/c2729c86ea38f47b15ccb09197deed76b50f8fa6_800x600.jpg', 'speaker': 'Sherwin Nuland', 'title': 'How electroshock therapy changed me', 'duration': 1338, 'slug': 'sherwin_nuland_on_electroshock_therapy', 'viewed_count': 1522860}, {'id': 2817, 'hero': 'https://pe.tedcdn.com/images/ted/940535a3dd68ca5bbe45fb7d54535a8990d46e4b_2880x1620.jpg', 'speaker': 'Anil Seth', 'title': 'Your brain hallucinates your conscious reality', 'duration': 1021, 'slug': 'anil_seth_how_your_brain_hallucinates_your_conscious_reality', 'viewed_count': 2663106}, {'id': 1186, 'hero': 'https://pe.tedcdn.com/images/ted/9921d6e3598986f8f1055d15d24a122f4aab3b95_800x600.jpg', 'speaker': 'Simon Lewis', 'title': ""Don't take consciousness for granted"", 'duration': 1337, 'slug': 'simon_lewis_don_t_take_consciousness_for_granted', 'viewed_count': 690949}, {'id': 1308, 'hero': 'https://pe.tedcdn.com/images/ted/483f84a4cd490b8a4ed1331c489ac04e09bf61b4_800x600.jpg', 'speaker': 'Antonio Damasio', 'title': 'The quest to understand consciousness', 'duration': 1122, 'slug': 'antonio_damasio_the_quest_to_understand_consciousness', 'viewed_count': 1692178}]","['biology', 'brain', 'consciousness', 'global issues', 'illness', 'science']",My stroke of insight,"https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight
",21190883
"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",1305,TED2006,1138838400,Tony Robbins,Tony Robbins: Why we do what we do,"[{'id': 229, 'hero': 'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', 'speaker': 'Jill Bolte Taylor', 'title': 'My stroke of insight', 'duration': 1099, 'slug': 'jill_bolte_taylor_s_powerful_stroke_of_insight', 'viewed_count': 21190809}, {'id': 70, 'hero': 'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', 'speaker': 'Richard St. John', 'title': '8 secrets of success', 'duration': 210, 'slug': 'richard_st_john_s_8_secrets_of_success', 'viewed_count': 10841194}, {'id': 97, 'hero': 'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', 'speaker': 'Dan Gilbert', 'title': 'The surprising science of happiness', 'duration': 1276, 'slug': 'dan_gilbert_asks_why_are_we_happy', 'viewed_count': 14689293}, {'id': 1094, 'hero': 'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', 'speaker': 'David Brooks', 'title': 'The social animal', 'duration': 1124, 'slug': 'david_brooks_the_social_animal', 'viewed_count': 1132745}, {'id': 2861, 'hero': 'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', 'speaker': 'Emily Esfahani Smith', 'title': ""There's more to life than being happy"", 'duration': 738, 'slug': 'emily_esfahani_smith_there_s_more_to_life_than_being_happy', 'viewed_count': 997630}, {'id': 2279, 'hero': 'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', 'speaker': 'Rana el Kaliouby', 'title': 'This app knows how you feel -- from the look on your face', 'duration': 664, 'slug': 'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face', 'viewed_count': 1407619}]","['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']",Why we do what we do,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401
"Suspicious emails: unclaimed insurance bonds, diamond-encrusted safe deposit boxes, close friends marooned in a foreign country. They pop up in our inboxes, and standard procedure is to delete on sight. But what happens when you reply? Follow along as writer and comedian James Veitch narrates a hilarious, weeks-long exchange with a spammer who offered to cut him in on a hot deal.",588,TEDGlobal>Geneva,1449532800,James Veitch,James Veitch: This is what happens when you reply to spam email,"[{'id': 2236, 'hero': 'https://pe.tedcdn.com/images/ted/b37fddd0ff22525d9ed1c9bde56f170221cbce31_2880x1620.jpg', 'speaker': 'Sophie Scott', 'title': 'Why we laugh', 'duration': 1024, 'slug': 'sophie_scott_why_we_laugh', 'viewed_count': 2782842}, {'id': 2253, 'hero': 'https://pe.tedcdn.com/images/ted/cf60edde3cb4303d421107d7bbce32e58f8ab9f3_2880x1620.jpg', 'speaker': 'Roman Mars', 'title': ""Why city flags may be the worst-designed thing you've never noticed"", 'duration': 1098, 'slug': 'roman_mars_why_city_flags_may_be_the_worst_designed_thing_you_ve_never_noticed', 'viewed_count': 4597279}, {'id': 26, 'hero': 'https://pe.tedcdn.com/images/ted/387_480x360.jpg', 'speaker': 'Rives', 'title': 'If I controlled the Internet', 'duration': 247, 'slug': 'rives_controls_the_internet', 'viewed_count': 1813747}, {'id': 838, 'hero': 'https://pe.tedcdn.com/images/ted/164496_800x600.jpg', 'speaker': 'Omar Ahmad', 'title': 'Political change with pen and paper', 'duration': 367, 'slug': 'omar_ahmad_political_change_with_pen_and_paper', 'viewed_count': 538022}, {'id': 2577, 'hero': 'https://pe.tedcdn.com/images/ted/a071a87107bdf04eb17ab834903ec11afaa39404_2880x1620.jpg', 'speaker': 'James Veitch', 'title': 'The agony of trying to unsubscribe', 'duration': 460, 'slug': 'james_veitch_the_agony_of_trying_to_unsubscribe', 'viewed_count': 5711818}, {'id': 1466, 'hero': 'https://pe.tedcdn.com/images/ted/29c62ce2436bb06f95e73d2ea81b61eadf77b687_800x600.jpg', 'speaker': 'David Birch', 'title': 'A new way to stop identity theft', 'duration': 1023, 'slug': 'david_birch_identity_without_a_name', 'viewed_count': 174332}]","['comedy', 'communication', 'curiosity', 'humor', 'technology']",This is what happens when you reply to spam email,"https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email
",20475972
"Cameron Russell admits she won “a genetic lottery”: she's tall, pretty and an underwear model. But don't judge her by her looks. In this fearless talk, she takes a wry look at the industry that had her looking highly seductive at barely 16 years old.",577,TEDxMidAtlantic,1351296000,Cameron Russell,"Cameron Russell: Looks aren't everything. Believe me, I'm a model.","[{'id': 1438, 'hero': 'https://pe.tedcdn.com/images/ted/41941d4fc7f4ad42944c4433c5d630e3cfedae5c_800x600.jpg', 'speaker': 'Tavi Gevinson', 'title': 'A teen just trying to figure it out', 'duration': 450, 'slug': 'tavi_gevinson_a_teen_just_trying_to_figure_it_out', 'viewed_count': 1447618}, {'id': 482, 'hero': 'https://pe.tedcdn.com/images/ted/d3d18f76c4b3928cc0b9c603cac4202c9747d93f_2880x1620.jpg', 'speaker': 'Aimee Mullins', 'title': 'My 12 pairs of legs', 'duration': 598, 'slug': 'aimee_mullins_prosthetic_aesthetics', 'viewed_count': 3472466}, {'id': 396, 'hero': 'https://pe.tedcdn.com/images/ted/bcbe69d0b22244df280c325195fc209ddf9dc42e_2880x1620.jpg', 'speaker': 'Isaac Mizrahi', 'title': 'Fashion and creativity', 'duration': 856, 'slug': 'isaac_mizrahi_on_fashion_and_creativity', 'viewed_count': 900062}, {'id': 1161, 'hero': 'https://pe.tedcdn.com/images/ted/c22d7ba42f3e8c7780175ee5a48d9fb7480f48cc_800x600.jpg', 'speaker': 'Jessi Arrington', 'title': 'Wearing nothing new', 'duration': 324, 'slug': 'jessi_arrington_wearing_nothing_new', 'viewed_count': 1202940}, {'id': 2803, 'hero': 'https://pe.tedcdn.com/images/ted/371a31477eb7b139740f8bd83a610aaea36b66d7_2880x1620.jpg', 'speaker': 'Cheyenne Cochrane', 'title': 'A celebration of natural hair', 'duration': 840, 'slug': 'cheyenne_cochrane_a_celebration_of_natural_hair', 'viewed_count': 1080927}, {'id': 1132, 'hero': 'https://pe.tedcdn.com/images/ted/33baf93bd8a35229a99a0e3a6148b3a3a9043f33_2880x1620.jpg', 'speaker': 'Bruce Schneier', 'title': 'The security mirage', 'duration': 1265, 'slug': 'bruce_schneier', 'viewed_count': 744095}]","['TEDx', 'beauty', 'culture', 'fashion', 'photography']","Looks aren't everything. Believe me, I'm a model.","https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model
",19787465
